"street_name","accident_street","total_accident","percent_accident_street"
"East 100 Street","58","238421","0.02"
"Jerome Street","43","238421","0.02"
"Woodycrest Avenue","37","238421","0.02"
"West 9 Street","48","238421","0.02"
"East 109 Street","58","238421","0.02"
"East 112 Street","53","238421","0.02"
"West 124 Street","56","238421","0.02"
"78 Avenue","41","238421","0.02"
"140 Street","46","238421","0.02"
"144 Street","40","238421","0.02"
"Townsend Avenue","37","238421","0.02"
"Drumgoole Road West","46","238421","0.02"
"199 Street","56","238421","0.02"
"204 Street","39","238421","0.02"
"Hull Avenue","41","238421","0.02"
"Sheffield Avenue","54","238421","0.02"
"Newkirk Avenue","59","238421","0.02"
"East 24 Street","49","238421","0.02"
"Alexander Hamilton Bridge","47","238421","0.02"
"7 Avenue South","53","238421","0.02"
"West 12 Street","55","238421","0.02"
"129 Street","38","238421","0.02"
"East 46 Street","56","238421","0.02"
"Andrews Avenue","46","238421","0.02"
"Benson Avenue","59","238421","0.02"
"Astor Avenue","40","238421","0.02"
"116 Street","50","238421","0.02"
"East 30 Street","53","238421","0.02"
"West 176 Street","47","238421","0.02"
